Table,Borrower_ID,Variable,Category,Current_Value,Scenario_A_CF,Scenario_C_CF,Delta_A,Delta_C,Pct_Change_A,Pct_Change_C,Vanilla_CF,Proposed_CF,Delta_Vanilla,Delta_Proposed,Pct_Change_Vanilla,Pct_Change_Proposed
Table_8,5386,ExternalRiskEstimate,Immutable,70,70.0,70.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,MSinceOldestTradeOpen,Immutable,197,197.0,197.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,MSinceMostRecentTradeOpen,Non-controllable,16,16.0,16.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,AverageMInFile,Immutable,97,97.0,97.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NumSatisfactoryTrades,Actionable,30,30.0,33.0,0.0,3.0,0.0,10.0,,,,,,
Table_8,5386,NumTrades60Ever2DerogPubRec,Other,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NumTrades90Ever2DerogPubRec,Non-controllable,0,15.0,0.0,15.0,0.0,0.0,0.0,,,,,,
Table_8,5386,PercentTradesNeverDelq,Actionable,91,91.0,103.0,0.0,12.0,0.0,13.19,,,,,,
Table_8,5386,MSinceMostRecentDelq,Immutable,19,19.0,19.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,MaxDelq2PublicRecLast12M,Non-controllable,6,6.0,6.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,MaxDelqEver,Non-controllable,6,6.0,6.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NumTotalTrades,Non-controllable,32,32.0,32.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NumTradesOpeninLast12M,Actionable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,PercentInstallTrades,Non-controllable,22,22.0,22.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,MSinceMostRecentInqexcl7days,Immutable,0,19.0,0.0,19.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NumInqLast6M,Actionable,4,4.0,4.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NumInqLast6Mexcl7days,Other,4,4.0,4.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NetFractionRevolvingBurden,Actionable,44,44.0,36.0,0.0,-8.0,0.0,-18.18,,,,,,
Table_8,5386,NetFractionInstallBurden,Other,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NumRevolvingTradesWBalance,Other,8,8.0,8.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NumInstallTradesWBalance,Other,1,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,NumBank2NatlTradesWHighUtilization,Immutable,4,4.0,4.0,0.0,0.0,0.0,0.0,,,,,,
Table_8,5386,PercentTradesWBalance,Other,63,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,ExternalRiskEstimate,Immutable,75,75.0,75.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,MSinceOldestTradeOpen,Immutable,194,194.0,194.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,MSinceMostRecentTradeOpen,Non-controllable,18,18.0,18.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,AverageMInFile,Immutable,89,89.0,89.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NumSatisfactoryTrades,Actionable,12,12.0,12.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NumTrades60Ever2DerogPubRec,Other,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Table_9,7873,NumTrades90Ever2DerogPubRec,Non-controllable,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
